Epoch: 268, Loss: 0.14, Accuracy: 0.95, Time: 42.31s
Epoch: 269, Loss: 0.16, Accuracy: 0.95, Time: 42.18s
Epoch: 270, Loss: 0.17, Accuracy: 0.94, Time: 42.43s
Epoch: 271, Loss: 0.15, Accuracy: 0.95, Time: 42.34s
Epoch: 272, Loss: 0.15, Accuracy: 0.95, Time: 42.30s
Epoch: 273, Loss: 0.15, Accuracy: 0.95, Time: 42.38s
Epoch: 274, Loss: 0.15, Accuracy: 0.95, Time: 42.07s
Epoch: 275, Loss: 0.16, Accuracy: 0.95, Time: 42.24s
Epoch: 276, Loss: 0.19, Accuracy: 0.93, Time: 42.30s
Epoch: 277, Loss: 0.17, Accuracy: 0.94, Time: 42.25s
Epoch: 278, Loss: 0.17, Accuracy: 0.95, Time: 42.53s
Epoch: 279, Loss: 0.15, Accuracy: 0.95, Time: 42.61s
Epoch: 280, Loss: 0.16, Accuracy: 0.95, Time: 42.51s
Epoch: 281, Loss: 0.19, Accuracy: 0.94, Time: 42.67s
Epoch: 282, Loss: 0.17, Accuracy: 0.94, Time: 42.67s
Epoch: 283, Loss: 0.15, Accuracy: 0.95, Time: 42.30s
Epoch: 284, Loss: 0.16, Accuracy: 0.95, Time: 42.81s
Epoch: 285, Loss: 0.17, Accuracy: 0.94, Time: 42.23s
Epoch: 286, Loss: 0.17, Accuracy: 0.95, Time: 42.03s
Epoch: 287, Loss: 0.17, Accuracy: 0.95, Time: 41.95s
Epoch: 288, Loss: 0.15, Accuracy: 0.95, Time: 42.14s
Epoch: 289, Loss: 0.16, Accuracy: 0.94, Time: 41.90s
Epoch: 290, Loss: 0.18, Accuracy: 0.94, Time: 42.04s
Epoch: 291, Loss: 0.16, Accuracy: 0.94, Time: 41.94s
Epoch: 292, Loss: 0.14, Accuracy: 0.95, Time: 42.16s
Epoch: 293, Loss: 0.18, Accuracy: 0.94, Time: 42.23s
Epoch: 294, Loss: 0.18, Accuracy: 0.94, Time: 42.11s
Epoch: 295, Loss: 0.16, Accuracy: 0.95, Time: 42.08s
Epoch: 296, Loss: 0.18, Accuracy: 0.94, Time: 41.87s
Epoch: 297, Loss: 0.15, Accuracy: 0.95, Time: 41.88s
Epoch: 298, Loss: 0.15, Accuracy: 0.95, Time: 42.19s
Epoch: 299, Loss: 0.14, Accuracy: 0.95, Time: 41.98s
Epoch: 300, Loss: 0.15, Accuracy: 0.95, Time: 41.97s
Epoch: 301, Loss: 0.14, Accuracy: 0.95, Time: 41.88s
Epoch: 302, Loss: 0.16, Accuracy: 0.95, Time: 41.94s
Epoch: 303, Loss: 0.15, Accuracy: 0.95, Time: 41.94s
Epoch: 304, Loss: 0.14, Accuracy: 0.95, Time: 41.93s
Epoch: 305, Loss: 0.13, Accuracy: 0.96, Time: 41.95s
Epoch: 306, Loss: 0.14, Accuracy: 0.96, Time: 41.88s
Epoch: 307, Loss: 0.15, Accuracy: 0.95, Time: 41.81s
Epoch: 308, Loss: 0.12, Accuracy: 0.96, Time: 41.96s
Epoch: 309, Loss: 0.14, Accuracy: 0.95, Time: 41.82s
Epoch: 310, Loss: 0.15, Accuracy: 0.95, Time: 42.01s
Epoch: 311, Loss: 0.16, Accuracy: 0.95, Time: 41.94s
Epoch: 312, Loss: 0.17, Accuracy: 0.95, Time: 41.89s
Epoch: 313, Loss: 0.15, Accuracy: 0.95, Time: 42.12s
Epoch: 314, Loss: 0.13, Accuracy: 0.96, Time: 42.13s
Epoch: 315, Loss: 0.15, Accuracy: 0.95, Time: 42.14s
Epoch: 316, Loss: 0.14, Accuracy: 0.96, Time: 42.14s
Epoch: 317, Loss: 0.14, Accuracy: 0.96, Time: 42.06s
Epoch: 318, Loss: 0.16, Accuracy: 0.95, Time: 41.97s
Epoch: 319, Loss: 0.15, Accuracy: 0.95, Time: 41.94s
Epoch: 320, Loss: 0.14, Accuracy: 0.95, Time: 41.92s
Epoch: 321, Loss: 0.16, Accuracy: 0.95, Time: 41.96s
Epoch: 322, Loss: 0.13, Accuracy: 0.96, Time: 41.77s
Epoch: 323, Loss: 0.15, Accuracy: 0.95, Time: 41.94s
Epoch: 324, Loss: 0.15, Accuracy: 0.95, Time: 41.95s
Epoch: 325, Loss: 0.16, Accuracy: 0.95, Time: 42.06s
Epoch: 326, Loss: 0.13, Accuracy: 0.95, Time: 41.98s
Epoch: 327, Loss: 0.13, Accuracy: 0.96, Time: 42.02s
Epoch: 328, Loss: 0.14, Accuracy: 0.95, Time: 41.90s
Epoch: 329, Loss: 0.14, Accuracy: 0.95, Time: 41.98s
Epoch: 330, Loss: 0.14, Accuracy: 0.95, Time: 42.57s
Epoch: 331, Loss: 0.15, Accuracy: 0.95, Time: 42.46s
Epoch: 332, Loss: 0.14, Accuracy: 0.95, Time: 42.62s
Epoch: 333, Loss: 0.13, Accuracy: 0.95, Time: 42.49s
Epoch: 334, Loss: 0.13, Accuracy: 0.95, Time: 42.62s
Epoch: 335, Loss: 0.13, Accuracy: 0.96, Time: 42.58s
Epoch: 336, Loss: 0.13, Accuracy: 0.96, Time: 42.64s
Epoch: 337, Loss: 0.12, Accuracy: 0.95, Time: 42.49s
Epoch: 338, Loss: 0.13, Accuracy: 0.96, Time: 42.54s
Epoch: 339, Loss: 0.14, Accuracy: 0.95, Time: 42.66s
Epoch: 340, Loss: 0.12, Accuracy: 0.96, Time: 42.64s
Epoch: 341, Loss: 0.12, Accuracy: 0.96, Time: 42.75s
Epoch: 342, Loss: 0.14, Accuracy: 0.95, Time: 42.85s
Epoch: 343, Loss: 0.16, Accuracy: 0.95, Time: 43.18s
Epoch: 344, Loss: 0.14, Accuracy: 0.95, Time: 42.76s
Epoch: 345, Loss: 0.14, Accuracy: 0.95, Time: 42.87s
Epoch: 346, Loss: 0.14, Accuracy: 0.95, Time: 42.87s
Epoch: 347, Loss: 0.13, Accuracy: 0.96, Time: 42.89s
Epoch: 348, Loss: 0.15, Accuracy: 0.95, Time: 42.80s
Epoch: 349, Loss: 0.11, Accuracy: 0.96, Time: 42.65s
Epoch: 350, Loss: 0.12, Accuracy: 0.96, Time: 42.58s
Epoch: 351, Loss: 0.13, Accuracy: 0.95, Time: 42.62s
Epoch: 352, Loss: 0.12, Accuracy: 0.96, Time: 42.77s
Epoch: 353, Loss: 0.12, Accuracy: 0.96, Time: 42.77s
Epoch: 354, Loss: 0.12, Accuracy: 0.96, Time: 42.76s
Epoch: 355, Loss: 0.10, Accuracy: 0.96, Time: 42.83s
Epoch: 356, Loss: 0.13, Accuracy: 0.95, Time: 42.87s
Epoch: 357, Loss: 0.12, Accuracy: 0.96, Time: 42.90s
Epoch: 358, Loss: 0.12, Accuracy: 0.95, Time: 42.81s
Epoch: 359, Loss: 0.12, Accuracy: 0.96, Time: 42.89s
Epoch: 360, Loss: 0.14, Accuracy: 0.96, Time: 42.69s
Epoch: 361, Loss: 0.12, Accuracy: 0.96, Time: 42.77s
Epoch: 362, Loss: 0.12, Accuracy: 0.96, Time: 42.72s
Epoch: 363, Loss: 0.11, Accuracy: 0.97, Time: 42.97s
Epoch: 364, Loss: 0.13, Accuracy: 0.96, Time: 42.83s
Epoch: 365, Loss: 0.14, Accuracy: 0.95, Time: 42.65s
Epoch: 366, Loss: 0.12, Accuracy: 0.96, Time: 42.44s
Epoch: 367, Loss: 0.14, Accuracy: 0.95, Time: 42.52s
Epoch: 368, Loss: 0.12, Accuracy: 0.96, Time: 42.74s
Epoch: 369, Loss: 0.11, Accuracy: 0.96, Time: 42.93s
Epoch: 370, Loss: 0.09, Accuracy: 0.97, Time: 42.59s
Epoch: 371, Loss: 0.12, Accuracy: 0.96, Time: 42.80s
Epoch: 372, Loss: 0.12, Accuracy: 0.96, Time: 42.90s
Epoch: 373, Loss: 0.13, Accuracy: 0.96, Time: 42.49s
Epoch: 374, Loss: 0.12, Accuracy: 0.96, Time: 42.75s
Epoch: 375, Loss: 0.12, Accuracy: 0.96, Time: 42.67s
Epoch: 376, Loss: 0.13, Accuracy: 0.96, Time: 42.69s
Epoch: 377, Loss: 0.12, Accuracy: 0.96, Time: 42.76s
